UserTags,TimeStamps,Tweets,Replies,Retweets,Likes
"Black Lives Matter (BLM)
@Blklivesmatter
·
Nov 15, 2024",2024-11-15T05:45:49.000Z,"Our favorite part about Twitter, post-Trump, is seeing all the people who visit our page just to declare that we’re “irrelevant” or “over.”

If you’re following us, commenting, or engaging with the largest Black-led abolitionist organization, it’s clear we’re still very relevant",1.9K,133,535
"Black Lives Matter (BLM)
@Blklivesmatter
·
3h",2025-03-28T04:09:21.000Z,"This is what a government on autopilot looks like. Thirsty for clicks and focused on nothing serious. This is embarrassing.

Imagine representing the highest office in the world and still chasing clout like a desperate influencer. Beyond cringe.",25,26,129
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 25",2025-03-25T19:07:42.000Z,"SAY IT LOUD! Everything we fight for is for our little ones. Black children, playful, unafraid, standing in their joy. When we hold them close, when we build a community that loves them back, they rise!",16,13,67
"Marie’s daughter
@j0vintage
·
Mar 14",2025-03-14T11:29:59.000Z,wants to change the District of Columbia to district of America bc he said Washington DC is no where near Columbia. Y’all..I’m so tired of that stupid bitch.,191,5.2K,50K
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 15",2025-03-15T01:10:40.000Z,Capitulation Chuck,16,6,29
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 15",2025-03-14T23:42:43.000Z,"They didn’t vote right, they voted white:

Chuck Schumer
John Fetterman
Brian Schatz
Dick Durbin
Gary Peters
Angus King
Jean Shaheen
Maggie Hassan
Kirsten Gillibrand
Catherine Cortez Masto",78,90,349
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 15",2025-03-14T23:36:29.000Z,Now you see exactly what we mean when we say both Democrats and Republicans are complicit. Neither party is built for us.,26,19,75
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 15",2025-03-14T22:36:28.000Z,"Under 
@SenSchumer
’s leadership, a handful of Senate Democrats just teamed up with Republicans to hand the Trump administration a blank check.

No restraints, no oversight, no accountability. They just fueled the chaos.

This is what betrayal looks like.",16,30,80
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 12",2025-03-12T14:19:01.000Z,Correct.,43,29,150
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 11",2025-03-11T00:44:59.000Z,Painting over a street won’t change a damn thing.,1.3K,200,227
"Rachel Cohen
@rmc031
·
Mar 10",2025-03-10T04:08:05.000Z,"not mentioned in any of the news write-ups I've seen so far about Mahmoud Khalil's staggering arrest (New York Times, Reuters, AP, ABC, Time, NBC) is any mention of ""Project Esther"" — the Heritage Foundation's plan released in October calling for exactly this type of action",30,416,1.3K
"Dream Defenders
@Dreamdefenders
·
Mar 10",2025-03-10T14:13:07.000Z,Florida girlies to the world!,10,4,18
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 10",2025-03-10T16:34:22.000Z,"Well, this is true.",21,10,50
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 10",2025-03-10T15:42:13.000Z,"You have the audacity to support the abduction of Mahmoud Khalil but lacked the courage to hold Elon accountable for his Nazi salute?

You are fake. It is completely asinine to back the incarceration of a legal resident for exercising free speech.

Mahmoud Khalil has not been",62,13,76
"Samuel Sinyangwe
@samswey
·
Mar 7",2025-03-07T17:26:59.000Z,"A billionaire just exploded a missile over Florida that is 10x larger than an ICBM, putting commercial aircraft at risk and raining hazardous material all over the Caribbean. No criminal charges filed.",2.4K,16K,75K
"philip lewis
@Phil_Lewis_
·
Mar 7",2025-03-07T18:51:07.000Z,"D’Wayne Wiggins, founding member of Tony! Toni! Toné!, has died, according to family",314,7.1K,19K
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 5",2025-03-05T17:54:01.000Z,"Black Lives Matter yesterday, today, tomorrow, always. You can’t erase us. You tried already......... and failed.",82,72,249
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 5",2025-03-05T17:53:04.000Z,"They can whitewash our murals, but they can’t erase our history. Black Lives Matter Plaza is a permanent reminder of what they’re scared of and we’re not backing down.",31,35,128
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 5",2025-03-05T17:51:02.000Z,"They love “small government” until it’s time to control D.C. They’re silencing over 700,000 Black and Brown voices. If they can take this, they’ll take everything. Next stop: Everything representing Blackness in your city.",23,30,69
"Black Lives Matter (BLM)
@Blklivesmatter
·
Mar 5",2025-03-05T17:49:44.000Z,"First, they attacked critical race theory. Then, they banned books. Then DEI, Now they’re erasing Black Lives Matter Plaza. Big mistake. You can’t erase truth. Republicans hate that they have to walk past it. Hate that it reminds them of our power.",51,50,137
