UserTags,TimeStamps,Tweets,Replies,Retweets,Likes
"Angela Gardner
@AngieG4ability
·
12h",2024-06-29T19:44:38.000Z,Investing in our children is the best thing. Anyone can do it.We  don't have to wait for politicians or we'll known people.,1,3,16
"Black Lives Matter
@Blklivesmatter
·
12h",2024-06-29T19:29:52.000Z,"Black Boy JOY Alert!

We’re proud to support the incredible work of King’s Rising Summer Camp! Thanks to a grant from BLM, these amazing kids are learning, growing, and thriving. Our board chair, 
@Cicley_Gay
, visited the camp to see the impact firsthand.

Swipe to see",3,29,195
"Gabrielle A. Perry, MPH
@GeauxGabrielle
·
Jun 28",2024-06-28T14:52:07.000Z,The homeless will be rounded up by police and used as a slave labor force in the prisons and local jails INDEFINITELY as they cannot make bail.,1.9K,30K,91K
"Bryan H., Esq.
@X_BryanH
·
Jun 28",2024-06-28T14:55:27.000Z,"The Supreme Court has:

-Overturned Roe v. Wade (50+ years of precedent)

-Overturned Chevron (40 years of precedent)

-Overturned affirmative action (60+ years of precedent)

-Allowed cities to criminalize homelessness

And this is all because 1 man became president in 2016.",8.5K,40K,136K
"Black Lives Matter
@Blklivesmatter
·
Jun 27",2024-06-27T02:00:23.000Z,CNN's exclusion of Black-owned media from the presidential debate tomorrow is a direct act of voter suppression and systemic racism. We demand all Black-owned outlets be credentialed NOW. Our voices will not be silenced. #BlackMediaMatters #CNNDebate,8,39,69
"Black Lives Matter
@Blklivesmatter
·
Jun 27",2024-06-27T02:02:45.000Z,"The exclusion of Black-owned media from CNN's upcoming presidential debate is a deliberate act of suppression that cannot be ignored. By credentialing 800 members of the media and excluding Black-owned outlets, CNN is actively participating in the systemic silencing of Black",7,21,40
"Black Lives Matter
@Blklivesmatter
·
Jun 27",2024-06-27T01:19:44.000Z,we have to protect Cori Bush,483,165,757
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-25T11:51:05.000Z,"To politicians in North Carolina, New York, Chicago, California and all others trying to criminalize masks: The largest social justice protests in modern US history happened amid a deadly pandemic with masks. That virus is still raging, and people protesting for liberation",26,90,254
"Black Lives Matter
@Blklivesmatter
·
Jun 27",2024-06-27T00:51:00.000Z,Vile. Grotesque.,2,13,61
"Black Lives Matter
@Blklivesmatter
·
Jun 27",2024-06-27T00:47:36.000Z,"@OpenAI
 the images are no bueno",3,2,14
"Black Lives Matter
@Blklivesmatter
·
Jun 26",2024-06-26T14:51:16.000Z,"to the legislators in California moving the needle on long overdue reparations efforts!

Without reparations, structural discrimination continues to thrive and strategically holds Black people back.",18,10,44
"Alexandria Ocasio-Cortez
@AOC
·
Jun 25",2024-06-25T12:20:03.000Z,"New York: TODAY is primary Election Day!

It’s time to vote.  
Polls open NOW until 9pm.

Find your poll site and cast your ballot: https://vote.nyc/page/find-your-poll-site…",1.5K,1.3K,4.2K
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-25T13:11:32.000Z,Tamir ,5,57,328
"Julia Marie
@julia_doubleday
·
Jun 25",2024-06-25T02:56:55.000Z,"Published last week, my piece about the spreading mask bans & the silence of left orgs/allies as disabled ppl continue to beg them to fight back, stop spreading covid & stop normalizing our removal from public life. 

News from LA is scary & sad.",17,622,1.4K
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-25T12:37:37.000Z,"2020-2024, in pictures. 

make it make sense. it’s all very dystopian.

#NoMaskBan",4,14,44
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-25T12:13:13.000Z,"the reason: their facial recognition technology is having a hard time catching us in the act of…protesting. It’s the govt’s thuggish attempt to stop liberation work, and we are gonna fight like hell against the left and the right’s illegitimate, unsafe, unconstitutional actions",5,26,95
"Julia Marie
@julia_doubleday
·
Jun 25",2024-06-25T02:56:55.000Z,"Published last week, my piece about the spreading mask bans & the silence of left orgs/allies as disabled ppl continue to beg them to fight back, stop spreading covid & stop normalizing our removal from public life. 

News from LA is scary & sad.",17,622,1.4K
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-25T12:37:37.000Z,"2020-2024, in pictures. 

make it make sense. it’s all very dystopian.

#NoMaskBan",4,14,44
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-25T12:13:13.000Z,"the reason: their facial recognition technology is having a hard time catching us in the act of…protesting. It’s the govt’s thuggish attempt to stop liberation work, and we are gonna fight like hell against the left and the right’s illegitimate, unsafe, unconstitutional actions",5,26,95
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-25T11:17:54.000Z,"on the right and the left, there are significant attacks underway to prevent our communities from protesting.",2,23,63
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-24T23:35:28.000Z,"we thought it was dope. turn up on em 
@aoc",17,19,140
"Gabrielle A. Perry, MPH
@GeauxGabrielle
·
Jun 24",2024-06-24T15:45:35.000Z,"I wrote about this for 
@scalawagmag
With the criminalization of abortion as well as abortion snitch laws placing monetary bounties on the heads of women ($10K in TX) ANYONE can report you to your probation/parole officer for having an abortion then cash in by filing a civil suit",,21,40
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-24T23:22:34.000Z,THEY ATE that walk,4,9,82
"abiyot
@land2thetiller
·
Jun 24",2024-06-23T23:12:26.000Z,"Cali, Colombia ",49,7.6K,41K
"abiyot
@land2thetiller
·
Jun 24",2024-06-23T23:12:26.000Z,"Cali, Colombia ",49,7.6K,41K
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-24T23:18:00.000Z,"to be clear, we support the ethnic studies model; the age is our curiosity",2,1,13
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-24T23:13:02.000Z,does anyone else think it’s a bit traumatic to be showing second graders photos of police violence? And why can’t the introduction to Black Lives Matter include Black people joyous and thriving too?,7,4,34
"Black Lives Matter
@Blklivesmatter
·
Jun 25",2024-06-24T23:07:49.000Z,"Ok Black people, this might just be the Southwest hack for us ",2,5,22
"Black Lives Matter
@Blklivesmatter
·
Jun 22",2024-06-22T02:03:39.000Z,have a blessed and beautiful weekend family ,5,5,60
"Black Lives Matter
@Blklivesmatter
·
Jun 21",2024-06-21T20:15:08.000Z,important  about Biden’s recent immigration policy changes.,2,6,23
"Black Lives Matter
@Blklivesmatter
·
Jun 21",2024-06-21T12:43:23.000Z,"Kilyn Lewis was unarmed 

Kilyn Lewis was unarmed

 Kilyn Lewis was unarmed

Kilyn Lewis was unarmed

Kilyn Lewis was unarmed

Kilyn Lewis was unarmed",34,70,157
"Black Lives Matter
@Blklivesmatter
·
Jun 21",2024-06-21T03:23:57.000Z,"in today's episode of troll takedown thursday, we use our AI assistant, ClapBack 3000, to respond to John McClorey, a retired firefighter who believes white supremacy is a myth. 

but wait theres more: ClapBack 3000 now has the ability to recognize ignorance and call it out ",6,12,33
"Black Lives Matter
@Blklivesmatter
·
Jun 21",2024-06-21T03:23:57.000Z,"in today's episode of troll takedown thursday, we use our AI assistant, ClapBack 3000, to respond to John McClorey, a retired firefighter who believes white supremacy is a myth. 

but wait theres more: ClapBack 3000 now has the ability to recognize ignorance and call it out ",6,12,33
"Black Lives Matter
@Blklivesmatter
·
Jun 12",2024-06-12T18:21:20.000Z,Cancel. It. All.,29,36,133
"Black Lives Matter
@Blklivesmatter
·
Jun 10",2024-06-10T20:21:05.000Z,"The Supreme Court recently declined to hear a case, Mckesson v. Doe, that could have affirmed that the First Amendment protects protest organizers from being held liable for illegal actions committed by others present that organizers did not direct or intend.",27,30,51
